status_id,status_data,status_createdAt,status_timestamp,status_Latitude,status_Longitude,isReplytoStat,isReplytoScName,isReplytoUser,user_id,user_name,user_screenName,user_followers,user_followings,listed_in,user_statuses,account_createdAt,reputation,age,age_str
422404408719441920,RT @NHF_Hemophilia: The difference between long-term care and disability insurance: http://t.co/PCA4TnzKHF #bleedingdisorders,Sun Jan 12 16:27:13 +0000 2014,1389544033.0,,,,,,115405524,JOANNA  ,charitybegin1,732,1079,18,50201,Thu Feb 18 15:15:04 +0000 2010,40.666666666666664,123250583.0,1426 day 12 hour 16 minutes 23 seconds
420962688185794561,WEBLEED NEWS--&gt; Stolen Laptop = #HIPAA Security Breach for #Hematology patients http://t.co/SHLkdqxrHZ #hemophilia #bleedingdisorders,Wed Jan 08 16:58:20 +0000 2014,1389200300.0,,,,,,1499013888,We Bleed,WeBleedOnline,220,174,8,771,Mon Jun 10 18:44:21 +0000 2013,27.5,18866826.0,218 day 8 hour 47 minutes 6 seconds
421722663087001600,RT @pjlynch: NYC #hemophilia community. Only 10 tix left. FREE. RSVP now if you'd like to attend! #bleedingdisorders http://t.co/9mDoCsTzVU,Fri Jan 10 19:18:12 +0000 2014,1389381492.0,11.5306,122.1616,,,,420961384,Laura Quintas ,LauraQuintasL,140,135,12,7881,Fri Nov 25 09:46:52 +0000 2011,11.666666666666666,67542275.0,781 day 17 hour 44 minutes 35 seconds
421013146124685312,"Join NHF CO for the 2014 Women's Retreat in Golden, Colorado! #bleedingdisorders #relaxin http://t.co/v7be2bKFpE",Wed Jan 08 20:18:50 +0000 2014,1389212330.0,38.67294,-104.702767,,,,228865533,NHF Colorado,cohemo,592,580,26,1650,Mon Dec 20 22:10:12 +0000 2010,22.76923076923077,96873675.0,1121 day 5 hour 21 minutes 15 seconds
423147893391122432,RT @NHF_Hemophilia: Join @NHF_Hemophilia on January 15 at 1:00pm eastern for our #HemoChat on #nutrition. #bleedingdisorders #hemophilia,Tue Jan 14 17:41:34 +0000 2014,1389721294.0,37.83132,-122.285253,,,,905003126,HFNC,HemoFoundation,239,278,2,710,Fri Oct 26 00:52:58 +0000 2012,119.5,38543909.0,446 day 2 hour 38 minutes 29 seconds
422820629662822400,Join @NHF_Hemophilia on January 15 at 1:00pm eastern for our #HemoChat on #nutrition. #bleedingdisorders #hemophilia,Mon Jan 13 20:01:08 +0000 2014,1389643268.0,40.730599,-73.986581,,,,39823988,Nat Hemophilia Fnd,NHF_Hemophilia,2816,825,94,10070,Wed May 13 20:18:00 +0000 2009,29.95744680851064,147510807.0,1707 day 7 hour 13 minutes 27 seconds
420265602641457153,"WEBLEED EVENTS--&gt; 4 Events this Thurs 1/9 in #SC, #NC, #VA, &amp; #AZ check 'em out here http://t.co/anFdJku16m #hemophilia #bleedingdisorders",Mon Jan 06 18:48:22 +0000 2014,1389034102.0,,,,,,1499013888,We Bleed,WeBleedOnline,220,174,8,771,Mon Jun 10 18:44:21 +0000 2013,27.5,18866826.0,218 day 8 hour 47 minutes 6 seconds
421374113207181312,RT @NHF_Hemophilia: Advice for preparing for life after high school for those w/ #bleedingdisorders: http://t.co/lRgTTRwe3n #hemophilia,Thu Jan 09 20:13:12 +0000 2014,1389298392.0,37.399312,-105.672088,,,,1360952108,Keira Baccei,baccei_keira,76,239,2,697,Thu Apr 18 03:45:26 +0000 2013,38.0,23499961.0,271 day 23 hour 46 minutes 1 seconds
419197765592162304,Managing #bleedingdisorders in #college can be challenging. HemAware blogger @SamiDan19 explains in her latest post: http://t.co/g3YkX9yEX0,Fri Jan 03 20:05:10 +0000 2014,1388779510.0,40.730599,-73.986581,,,,39823988,Nat Hemophilia Fnd,NHF_Hemophilia,2816,825,94,10070,Wed May 13 20:18:00 +0000 2009,29.95744680851064,147510807.0,1707 day 7 hour 13 minutes 27 seconds
420204737766514688,RT @NHF_Hemophilia: How #StepsforLiving encourages sound money management for people w/ #bleedingdisorders: http://t.co/5qfkC8kejN #hemophi…,Mon Jan 06 14:46:31 +0000 2014,1389019591.0,,,,,,1932394476,araceliQSC,santa_araceli,26,80,1,219,Thu Oct 03 23:51:55 +0000 2013,26.0,8912372.0,103 day 3 hour 39 minutes 32 seconds
420656318845042688,"RT @NHF_Hemophilia: 5 #books that examine history of #bleedingdisorders, other chronic medical issues &amp; the search for a fulfilled life. ht…",Tue Jan 07 20:40:56 +0000 2014,1389127256.0,,,,,,1230727519,FL Hemophilia Assoc.,FLHemoAssoc,229,187,5,202,Fri Mar 01 18:04:27 +0000 2013,45.8,27595620.0,319 day 9 hour 27 minutes 0 seconds
420400606960836609,"RT @NHF_Hemophilia: 5 #books that examine history of #bleedingdisorders, other chronic medical issues &amp; the search for a fulfilled life. ht…",Tue Jan 07 03:44:50 +0000 2014,1389066290.0,41.940326,-85.000522,,,,1606946563,Janelle Fisher,fisher_janelle,6,58,0,38,Fri Jul 19 22:48:36 +0000 2013,0.0,15482571.0,179 day 4 hour 42 minutes 51 seconds
421685268547002368,WEBLEED NEWS--&gt; BIOGEN announces partnership with SANGAMO BioSciences http://t.co/Si5vcPhaln #bleedingdisorders #pharma #biotech,Fri Jan 10 16:49:37 +0000 2014,1389372577.0,,,,,,1499013888,We Bleed,WeBleedOnline,220,174,8,771,Mon Jun 10 18:44:21 +0000 2013,27.5,18866826.0,218 day 8 hour 47 minutes 6 seconds
420588633087672320,Thank you to all of our new followers! #bleedingdisorders #advocacy #awareness,Tue Jan 07 16:11:58 +0000 2014,1389111118.0,41.875621,-87.624371,,,,338410868,CBDC,CompBleed,690,730,20,3770,Tue Jul 19 14:59:41 +0000 2011,34.5,78669106.0,910 day 12 hour 31 minutes 46 seconds
421779070179745793,10 things every adult with  #bleedingdisorders should know: http://t.co/H4Bpv5ScO3,Fri Jan 10 23:02:21 +0000 2014,1389394941.0,40.730599,-73.986581,,,,39823988,Nat Hemophilia Fnd,NHF_Hemophilia,2816,825,94,10070,Wed May 13 20:18:00 +0000 2009,29.95744680851064,147510807.0,1707 day 7 hour 13 minutes 27 seconds
420304599807848448,In March we're kicking off our 20th anniversary in Tampa! Learn more about this meeting for all w/#bleedingdisorders: http://t.co/osixt617G9,Mon Jan 06 21:23:20 +0000 2014,1389043400.0,38.895115,-77.036372,,,,61610186,HemophiliaFederation,hemophiliafed,1808,894,56,2929,Thu Jul 30 21:54:38 +0000 2009,32.285714285714285,140765809.0,1629 day 5 hour 36 minutes 49 seconds
425700243770847232,@rarediseasefdn @RyanneSiobhain @RareConnect HELP SHARE raise AWARENESS of rare bleeding disorder http://t.co/EmQNF7tHtj #bleedingdisorders,Tue Jan 21 18:43:41 +0000 2014,1390329821.0,,,,rarediseasefdn,255195161,174336230,Kari Peepe,kpeepe,121,341,3,618,Tue Aug 03 17:50:27 +0000 2010,40.333333333333336,109497194.0,1267 day 7 hour 53 minutes 14 seconds
426345140132003840,RT @fhlusa: Proper Shoes and Hemophilia. Focus on footwear | HemAware http://t.co/pmcfpvERm1 #Sports #BleedingDisorders,Thu Jan 23 13:26:17 +0000 2014,1390483577.0,,,,,,2220906834,Gilda,healthorder,558,88,10,195367,Fri Nov 29 05:50:49 +0000 2013,55.8,4804528.0,55 day 14 hour 35 minutes 28 seconds
